vc_ref,tetrad,tetrad_name_vc,wholly_in_vc_flag
H1,Q210J,,f
H1,Q210U,,f
H1,Q310B,,f
H1,Q310C,,f
H1,Q310D,,f
H1,Q310E,,f
H1,Q310F,,f
H1,Q310G,,f
H1,Q310H,,f
H1,Q310I,,t
H1,Q310J,,t
H1,Q310K,,f
H1,Q310L,,f
H1,Q310M,,f
H1,Q310N,,t
H1,Q310P,,t
H1,Q310Q,,f
H1,Q310R,,f
H1,Q310S,,f
H1,Q310T,,t
H1,Q310U,,f
H1,Q310V,,f
H1,Q310W,,f
H1,Q310X,,f
H1,Q310Y,,t
H1,Q310Z,,f
H1,Q311U,,f
H1,Q311Z,,f
H1,Q410A,,t
H1,Q410B,,t
H1,Q410C,,t
H1,Q410D,,t
H1,Q410E,,f
H1,Q410F,,t
H1,Q410G,,t
H1,Q410H,,t
H1,Q410I,,t
H1,Q410J,,f
H1,Q410K,,t
H1,Q410L,,t
H1,Q410M,,t
H1,Q410N,,t
H1,Q410P,,f
H1,Q410Q,,t
H1,Q410R,,t
H1,Q410S,,t
H1,Q410T,,t
H1,Q410U,,f
H1,Q410V,,t
H1,Q410W,,t
H1,Q410X,,t
H1,Q410Y,,t
H1,Q410Z,,f
H1,Q411D,,f
H1,Q411E,,f
H1,Q411H,,f
H1,Q411I,,f
H1,Q411J,,f
H1,Q411M,,f
H1,Q411N,,t
H1,Q411P,,t
H1,Q411R,,f
H1,Q411S,,f
H1,Q411T,,t
H1,Q411U,,t
H1,Q411W,,f
H1,Q411X,,f
H1,Q411Y,,t
H1,Q411Z,,t
H1,Q510A,,t
H1,Q510B,,t
H1,Q510C,,t
H1,Q510D,,t
H1,Q510E,,t
H1,Q510F,,t
H1,Q510G,,t
H1,Q510H,,t
H1,Q510I,,t
H1,Q510J,,t
H1,Q510K,,t
H1,Q510L,,t
H1,Q510M,,t
H1,Q510N,,t
H1,Q510P,,t
H1,Q510Q,,t
H1,Q510R,,t
H1,Q510S,,t
H1,Q510T,,t
H1,Q510U,,t
H1,Q510V,,t
H1,Q510W,,t
H1,Q510X,,t
H1,Q510Y,,t
H1,Q510Z,,f
H1,Q511B,,f
H1,Q511C,,t
H1,Q511D,,f
H1,Q511E,,f
H1,Q511G,,f
H1,Q511H,,f
H1,Q511I,,f
H1,Q511J,,f
H1,Q511N,,f
H1,Q511P,,f
H1,Q511T,,f
H1,Q511U,,t
H1,Q511V,,f
H1,Q511X,,f
H1,Q511Y,,f
H1,Q511Z,,t
H1,Q512Y,,f
H1,Q512Z,,f
H1,Q610A,,t
H1,Q610B,,t
H1,Q610C,,t
H1,Q610D,,t
H1,Q610E,,f
H1,Q610F,,t
H1,Q610G,,t
H1,Q610H,,t
H1,Q610I,,t
H1,Q610J,,f
H1,Q610K,,t
H1,Q610L,,t
H1,Q610M,,t
H1,Q610N,,t
H1,Q610P,,f
H1,Q610Q,,t
H1,Q610R,,t
H1,Q610S,,t
H1,Q610T,,t
H1,Q610U,,f
H1,Q610V,,t
H1,Q610W,,t
H1,Q610X,,t
H1,Q610Y,,t
H1,Q610Z,,f
H1,Q611A,,f
H1,Q611B,,f
H1,Q611C,,f
H1,Q611D,,t
H1,Q611E,,t
H1,Q611F,,f
H1,Q611G,,f
H1,Q611H,,f
H1,Q611I,,f
H1,Q611J,,t
H1,Q611N,,f
H1,Q611P,,f
H1,Q611U,,f
H1,Q611Z,,f
H1,Q612D,,f
H1,Q612E,,f
H1,Q612J,,f
H1,Q710A,,t
H1,Q710B,,t
H1,Q710C,,t
H1,Q710D,,f
H1,Q710E,,f
H1,Q710F,,t
H1,Q710G,,f
H1,Q710H,,f
H1,Q710I,,f
H1,Q710J,,f
H1,Q710K,,t
H1,Q710L,,f
H1,Q710Q,,f
H1,Q710R,,f
H1,Q711E,,f
H1,Q711I,,f
H1,Q711J,,f
H1,Q711N,,f
H1,Q711P,,f
H1,Q711T,,f
H1,Q711U,,f
H1,V18K,,f
H1,V19S,,f
H1,V19X,,f
H1,V26P,,f
H1,V26U,,f
H1,V29D,,f
H1,V29E,,f
H1,V29F,,f
H1,V29H,,f
H1,V29L,,f
H1,V29M,,f
H1,V29Q,,f
H1,V29R,,f
H1,V29S,,f
H1,V29V,,f
H1,V29W,,f
H1,V36D,,f
H1,V36G,,f
H1,V36K,,f
H1,V36L,,f
H1,V36Q,,f
H1,V36T,,f
H1,V36V,,f
H1,V36W,,f
H1,V36X,,f
H1,V36Y,,f
H1,V36Z,,f
H1,V37H,,f
H1,V37I,,f
H1,V37L,,f
H1,V37M,,f
H1,V37N,,f
H1,V37P,,f
H1,V37R,,f
H1,V37S,,t
H1,V37T,,f
H1,V37U,,t
H1,V37V,,f
H1,V37W,,f
H1,V37X,,f
H1,V37Y,,f
H1,V37Z,,t
H1,V39A,,f
H1,V39B,,f
H1,V39F,,t
H1,V39G,,f
H1,V39K,,t
H1,V39L,,f
H1,V39Q,,f
H1,V39R,,f
H1,V39V,,f
H1,V39W,,f
H1,V45H,,f
H1,V45L,,f
H1,V45M,,f
H1,V45R,,f
H1,V45S,,f
H1,V45V,,f
H1,V45W,,f
H1,V46A,,t
H1,V46B,,t
H1,V46C,,t
H1,V46D,,f
H1,V46F,,t
H1,V46G,,f
H1,V46H,,f
H1,V46I,,f
H1,V46K,,f
H1,V46L,,f
H1,V46M,,f
H1,V46Q,,f
H1,V46R,,f
H1,V46U,,f
H1,V46V,,f
H1,V46W,,f
H1,V46X,,f
H1,V46Y,,f
H1,V46Z,,f
H1,V47A,,f
H1,V47B,,f
H1,V47C,,f
H1,V47D,,f
H1,V47E,,t
H1,V47F,,f
H1,V47G,,f
H1,V47H,,f
H1,V47I,,f
H1,V47J,,t
H1,V47K,,f
H1,V47L,,f
H1,V47M,,f
H1,V47N,,t
H1,V47P,,t
H1,V47Q,,f
H1,V47R,,t
H1,V47S,,t
H1,V47T,,t
H1,V47U,,t
H1,V47V,,f
H1,V47W,,t
H1,V47X,,t
H1,V47Y,,t
H1,V47Z,,t
H1,V48E,,f
H1,V48I,,f
H1,V48J,,f
H1,V48M,,f
H1,V48N,,f
H1,V48P,,f
H1,V48S,,f
H1,V48T,,t
H1,V48U,,f
H1,V48W,,f
H1,V48X,,f
H1,V48Y,,t
H1,V48Z,,f
H1,V49A,,f
H1,V49F,,f
H1,V49G,,f
H1,V49K,,f
H1,V49Q,,f
H1,V49V,,f
H1,V49W,,f
H1,V55A,,f
H1,V55B,,f
H1,V55C,,f
H1,V55F,,f
H1,V55G,,f
H1,V55H,,f
H1,V55K,,f
H1,V55L,,f
H1,V55Q,,f
H1,V55R,,f
H1,V55V,,f
H1,V56A,,t
H1,V56B,,f
H1,V56C,,f
H1,V56D,,f
H1,V56E,,t
H1,V56F,,t
H1,V56G,,t
H1,V56H,,t
H1,V56I,,t
H1,V56J,,t
H1,V56K,,t
H1,V56L,,t
H1,V56M,,t
H1,V56N,,t
H1,V56P,,t
H1,V56Q,,t
H1,V56R,,t
H1,V56S,,t
H1,V56T,,t
H1,V56U,,t
H1,V56V,,t
H1,V56W,,t
H1,V56X,,t
H1,V56Y,,t
H1,V56Z,,f
H1,V57A,,t
H1,V57B,,t
H1,V57C,,t
H1,V57D,,t
H1,V57E,,t
H1,V57F,,t
H1,V57G,,t
H1,V57H,,t
H1,V57I,,t
H1,V57J,,t
H1,V57K,,t
H1,V57L,,t
H1,V57M,,t
H1,V57N,,t
H1,V57P,,t
H1,V57Q,,t
H1,V57R,,t
H1,V57S,,t
H1,V57T,,t
H1,V57U,,t
H1,V57V,,t
H1,V57W,,t
H1,V57X,,t
H1,V57Y,,t
H1,V57Z,,t
H1,V58B,,f
H1,V58C,,t
H1,V58D,,t
H1,V58E,,t
H1,V58F,,f
H1,V58G,,f
H1,V58H,,t
H1,V58I,,t
H1,V58J,,t
H1,V58K,,f
H1,V58L,,f
H1,V58M,,t
H1,V58N,,t
H1,V58P,,t
H1,V58Q,,f
H1,V58R,,t
H1,V58S,,t
H1,V58T,,t
H1,V58U,,t
H1,V58V,,f
H1,V58W,,t
H1,V58X,,t
H1,V58Y,,t
H1,V58Z,,t
H1,V59A,,f
H1,V59B,,f
H1,V59F,,f
H1,V59G,,f
H1,V59K,,f
H1,V59L,,f
H1,V59Q,,f
H1,V59V,,f
H1,V65A,,f
H1,V65F,,f
H1,V66A,,t
H1,V66B,,t
H1,V66C,,t
H1,V66D,,t
H1,V66E,,f
H1,V66F,,t
H1,V66G,,t
H1,V66H,,t
H1,V66I,,t
H1,V66J,,f
H1,V66K,,t
H1,V66L,,t
H1,V66M,,t
H1,V66N,,f
H1,V66P,,f
H1,V66Q,,t
H1,V66R,,t
H1,V66S,,t
H1,V66T,,f
H1,V66U,,f
H1,V66V,,t
H1,V66W,,f
H1,V66X,,f
H1,V66Y,,f
H1,V66Z,,f
H1,V67A,,t
H1,V67B,,t
H1,V67C,,t
H1,V67D,,t
H1,V67E,,t
H1,V67F,,t
H1,V67G,,t
H1,V67H,,t
H1,V67I,,t
H1,V67J,,t
H1,V67K,,t
H1,V67L,,t
H1,V67M,,t
H1,V67N,,t
H1,V67P,,t
H1,V67Q,,t
H1,V67R,,t
H1,V67S,,t
H1,V67T,,t
H1,V67U,,t
H1,V67V,,t
H1,V67W,,t
H1,V67X,,t
H1,V67Y,,t
H1,V67Z,,t
H1,V68A,,f
H1,V68B,,t
H1,V68C,,t
H1,V68D,,t
H1,V68E,,t
H1,V68F,,f
H1,V68G,,t
H1,V68H,,t
H1,V68I,,t
H1,V68J,,t
H1,V68K,,t
H1,V68L,,t
H1,V68M,,t
H1,V68N,,t
H1,V68P,,t
H1,V68Q,,t
H1,V68R,,t
H1,V68S,,t
H1,V68T,,t
H1,V68U,,t
H1,V68V,,t
H1,V68W,,t
H1,V68X,,t
H1,V68Y,,t
H1,V68Z,,t
H1,V69J,,f
H1,V69K,,f
H1,V69L,,f
H1,V69M,,f
H1,V69N,,f
H1,V69P,,f
H1,V69Q,,f
H1,V69R,,f
H1,V69S,,f
H1,V69T,,f
H1,V69U,,t
H1,V69W,,f
H1,V69X,,f
H1,V69Y,,f
H1,V69Z,,t
H1,V74F,,f
H1,V74K,,f
H1,V74Q,,f
H1,V75A,,f
H1,V75B,,f
H1,V75F,,f
H1,V75G,,f
H1,V75H,,f
H1,V75I,,f
H1,V75J,,f
H1,V75K,,f
H1,V75L,,f
H1,V75M,,t
H1,V75N,,f
H1,V75P,,f
H1,V75Q,,f
H1,V75R,,f
H1,V75S,,t
H1,V75T,,f
H1,V75U,,f
H1,V75V,,t
H1,V75W,,t
H1,V75X,,f
H1,V75Y,,f
H1,V76A,,t
H1,V76B,,t
H1,V76C,,f
H1,V76D,,f
H1,V76F,,t
H1,V76G,,t
H1,V76H,,f
H1,V76I,,f
H1,V76K,,t
H1,V76L,,t
H1,V76M,,f
H1,V76P,,f
H1,V76Q,,t
H1,V76R,,f
H1,V76S,,f
H1,V76T,,f
H1,V76U,,f
H1,V76V,,f
H1,V76W,,f
H1,V76X,,f
H1,V76Y,,f
H1,V76Z,,t
H1,V77A,,t
H1,V77B,,t
H1,V77C,,t
H1,V77D,,t
H1,V77E,,t
H1,V77F,,t
H1,V77G,,t
H1,V77H,,t
H1,V77I,,t
H1,V77J,,t
H1,V77K,,t
H1,V77L,,t
H1,V77M,,t
H1,V77N,,t
H1,V77P,,t
H1,V77Q,,t
H1,V77R,,t
H1,V77S,,t
H1,V77T,,t
H1,V77U,,t
H1,V77V,,t
H1,V77W,,t
H1,V77X,,t
H1,V77Y,,t
H1,V77Z,,t
H1,V78A,,t
H1,V78B,,t
H1,V78C,,t
H1,V78D,,t
H1,V78E,,t
H1,V78F,,t
H1,V78G,,t
H1,V78H,,t
H1,V78I,,t
H1,V78J,,t
H1,V78K,,t
H1,V78L,,t
H1,V78M,,t
H1,V78N,,t
H1,V78P,,t
H1,V78Q,,t
