Dactylaena pauciflora	ARG(JUJ, SAL, SDE, TUC)
Dactylis glomerata	ARG(BAI, CHU, COR, ERI, LPA, MEN, NEU, RNE, SLU, SCR, SFE, TDF, TUC) / BRA(RGS) / CHL(VAL, LBO, MAU, BIO, ARA, LLA, AIS, MAG, RME, JFE) / URY(MON)
Dactyloctenium aegyptium	ARG(BAI, CAT, CHA, COR, FOR, JUJ, LPA, LRI, MEN, SAL, SJU, SLU, SFE, SDE, TUC) / BRA(Fuera del área del proyecto) / PRY(PHA) / URY(MON)
Dahlia pinnata	ARG(SAL)
Dahlstedtia pinnata	ARG(MIS) / BRA(PAR, RGS, SCA)
Dalbergia brasiliensis	BRA(PAR, SCA)
Dalbergia ecastaphyllum	BRA(PAR, SCA)
Dalbergia ernest-ulei	BRA(SCA)
Dalbergia frutescens	ARG(COS, MIS) / BRA(PAR, RGS, SCA) / PRY(APA, AMA, CAA, CAN, COA, GUA, PAI, SPE) / URY(ART)
Dalbergia lateriflora	BRA(PAR, SCA)
Dalbergia miscolobium	BRA(PAR)
Dalea azurea	CHL(ANT)
Dalea boliviana	ARG(CAT, JUJ, SAL, TUC)
Dalea elegans var. elegans	ARG(COR, JUJ, SAL, SLU)
Dalea elegans var. onobrychioides	ARG(JUJ, SAL, TUC)
Dalea leporina	ARG(JUJ, SAL, TUC)
Dalea moquehuana	CHL(TAR)
Dalea pennellii var. chilensis	CHL(TAR)
Dalechampia anomala	PRY(AMA)
Dalechampia bangii	PRY(AMA, CON)
Dalechampia clausseniana	BRA(PAR, SCA)
Dalechampia ficifolia	BRA(SCA)
Dalechampia glechomifolia	ARG(MIS) / BRA(PAR, RGS, SCA)
Dalechampia guaranitica	PRY(SPE)
Dalechampia hassleriana	PRY(SPE)
Dalechampia leandrii	BRA(SCA)
Dalechampia linearis	BRA(Fuera del área del proyecto) / PRY(CAN)
Dalechampia meridionalis	BRA(Fuera del área del proyecto) / URY(Desconocida)
Dalechampia micromeria	ARG(COS, MIS) / BRA(PAR, RGS, SCA) / PRY(COA)
Dalechampia pentaphylla	BRA(PAR)
Dalechampia reitzkleinii	BRA(SCA)
Dalechampia riparia	BRA(SCA)
Dalechampia scandens	ARG(FOR, JUJ, MIS, SAL) / BRA(PAR) / PRY(CEN, COA, PHA)
Dalechampia serrula	PRY(CAN)
Dalechampia stenosepala	ARG(COS, ERI, MIS) / BRA(PAR, RGS) / PRY(APA, CAU, CAA, CAN, CON, COA, GUA, PAI, SPE)
Dalechampia stipulacea	ARG(COS, MIS) / BRA(PAR, RGS, SCA) / PRY(APA, CAA, CAN, COA, GUA, PAI, SPE)
Dalechampia sylvestris	BRA(Fuera del área del proyecto) / PRY(AMA)
Dalechampia triphylla	BRA(RGS) / PRY(PAI)
Dalechampia ulmifolia	ARG(COS, MIS) / BRA(RGS) / PRY(CAN, COA)
Dalechampia weddelliana	BRA(Fuera del área del proyecto) / PRY(AMA, SPE)
Danaea elliptica	BRA(SCA)
Danaea moritziana	BRA(SCA) / PRY(Desconocida)
Danaea nodosa	BRA(SCA) / PRY(APY, APA, AMA, CAU, CAN, CEN, COA, GUA)
Danthonia annableae	ARG(JUJ, SAL)
Danthonia araucana	CHL(MAU, BIO, ARA, LLA)
Danthonia californica var. americana	CHL(MAU, BIO, ARA)
Danthonia chilensis var. chilensis	ARG(NEU) / CHL(MAU, BIO, ARA, LLA, JFE)
Danthonia chilensis var. glabriflora	ARG(NEU) / CHL(BIO, ARA, LLA)
Danthonia chilensis var. aureofulva	CHL(VAL, LBO, MAU, BIO, ARA, LLA)
