Lablab purpureus	URY(MON)
Laburnum anagyroides	ARG(NEU, RNE)
Lachemilla asplenifolia	ARG(LRI, TUC)
Lachemilla bipinnatifida	ARG(TUC)
Lachemilla diplophylla	CHL(TAR, ANT)
Lachemilla frigida	ARG(COR, JUJ, SAL, TUC)
Lachemilla grisebachiana	ARG(TUC)
Lachemilla pedicellata	ARG(TUC)
Lachemilla pinnata	ARG(CAT, COR, JUJ, LRI, SAL, SLU, TUC) / CHL(TAR, ANT)
Lachemilla sandiensis	CHL(TAR)
Lachnagrostis filiformis	ARG(BAI, ERI, LPA, SFE) / CHL(VAL, MAU, LLA, IPA)
Lacistema aggregatum	ARG(JUJ, MIS)
Lacistema hasslerianum	ARG(JUJ, MIS) / BRA(PAR) / PRY(APA, AMA, CAU, CAN, PAI)
Lacistema lucidum	BRA(PAR)
Lactoris fernandeziana	CHL(JFE)
Lactuca canadensis	BRA(PAR)
Lactuca saligna	ARG(BAI, CAT, DFE, LPA, MEN, NEU, SLU) / URY(FLA, MON, PAY)
Lactuca sativa	ARG(BAI, COR) / CHL(TAR, RME)
Lactuca serriola	ARG(BAI, CAT, CHA, CHU, COR, COS, DFE, ERI, JUJ, LPA, LRI, MEN, MIS, NEU, RNE, SAL, SJU, SLU, SFE) / BRA(RGS, SCA) / CHL(ANT, COQ, VAL, LBO, MAU, BIO, ARA, RME) / PRY(PAI) / URY(ART, COL, MON, PAY, RNO, RIV, SAO, SOR, TAC)
Lactuca virosa	CHL(MAU, BIO, ARA, RME)
Laennecia altoandina	ARG(JUJ)
Laennecia artemisioides	ARG(JUJ, SAL) / CHL(TAR)
Laennecia sophiifolia	ARG(CAT, CHA, COR, JUJ, LPA, LRI, MEN, SAL, SDE, SJU, SLU, TUC)
Laetia americana	BRA(Fuera del área del proyecto) / PRY(CON, PHA)
Lafoensia nummularifolia	ARG(MIS) / BRA(PAR, SCA)
Lafoensia vandelliana	BRA(PAR, SCA) / PRY(AMA, CEN, CON, COA, PAI)
Lagascea mollis	ARG(CHA, COR, COS, FOR, JUJ, SAL, SDE, TUC) / PRY(APY, CEN)
Lagenaria siceraria	ARG(COS, JUJ) / BRA(PAR, RGS) / PRY(APY, CAA, PAI) / URY(SOR)
Lagenocarpus junciformis	BRA(RGS)
Lagenocarpus polyphyllus	BRA(PAR)
Lagenocarpus rigidus ssp. rigidus	BRA(PAR, SCA)
Lagenocarpus rigidus ssp. tenuifolius	BRA(PAR, SCA)
Lagenocarpus triqueter	BRA(PAR, SCA)
Lagenophora hariotii	ARG(CHU, NEU, RNE, SCR, TDF) / CHL(MAU, BIO, ARA, LLA, AIS, MAG, JFE)
Lagenophora hirsuta	ARG(CHU, NEU, RNE) / CHL(MAU, BIO, ARA, LLA, MAG, RME)
Lagenophora nudicaulis	ARG(CHU, NEU, RNE, TDF) / CHL(LBO, MAU, BIO, ARA, LLA, AIS, MAG)
Laguncularia racemosa	BRA(PAR, SCA)
Lagurus ovatus	ARG(BAI) / BRA(RGS) / CHL(COQ, VAL, LBO, MAU, BIO, ARA, LLA, MAG) / URY(MON)
Lamanonia cuneata	BRA(PAR, SCA) / PRY(COA, PAI)
Lamanonia ternata	ARG(MIS) / BRA(PAR, RGS) / PRY(GUA, PAI)
Lamarckia aurea	ARG(BAI, LPA, MEN, SFE) / CHL(ATA, COQ, VAL, RME)
Lamium amplexicaule	ARG(BAI, CHU, COR, DFE, ERI, MIS, NEU, RNE, SAL, SJU, SLU, SCR, SFE, TDF, TUC) / CHL(ANT, ATA, COQ, VAL, MAU, BIO, ARA, MAG, RME) / URY(MON, SOR)
Lamium hybridum	ARG(TDF)
Lamium purpureum	ARG(BAI, LPA, TDF)
Lampaya medicinalis	CHL(ANT)
Lampayo castellani	ARG(JUJ)
Lampayo hieronymi	ARG(CAT, LRI, SAL) / CHL(ANT)
Landoltia punctata	CHL(MAG)
Langsdorffia hypogaea	BRA(PAR, SCA) / PRY(AMA, CAN, SPE)
Lanium berkeleyi	BRA(SCA)
Lankesterella caespitosa	BRA(PAR, RGS, SCA)
Lankesterella ceracifolia	ARG(COS, MIS) / BRA(PAR, RGS, SCA)
Lankesterella salehi	BRA(PAR)
Lantana achyranthifolia	ARG(JUJ, SAL) / PRY(APY, AMA, CON, COA, ITA, SPE)
Lantana balansae	ARG(CHA, COR, COS, FOR, LRI, MIS, SFE) / PRY(APY, CAU, CAA, CEN, CON, COA, ÑEE, PHA) / URY(LAV)
Lantana camara	ARG(BAI, COR, COS, DFE, ERI, FOR, JUJ, MIS, SAL, SFE, SDE, TUC) / BRA(PAR, RGS) / PRY(APA, AMA, CAU, CAA, CAN, CEN, CON, COA, GUA, ITA, MIE, PAI) / URY(LAV)
Lantana canescens	ARG(CAT, JUJ, SAL, TUC) / BRA(PAR) / PRY(APY)
Lantana entrerriensis	ARG(BAI, COS, ERI, MIS)
Lantana fucata	ARG(BAI, CAT, COR, COS, ERI, FOR, JUJ, MIS, SAL, SJU, SFE, SDE, TUC) / BRA(PAR, RGS, SCA) / PRY(APY, APA, AMA, CEN, CON, COA, GUA, ITA, MIE, ÑEE, PAI, PHA) / URY(PAY, RIV, TAC)
Lantana grisebachii	ARG(CAT, CHA, COR, ERI, FOR, JUJ, LRI, MEN, SAL, SJU, SLU, SFE, TUC)
Lantana hypoleuca	PRY(AMA, CAN, CON)
Lantana lundiana	ARG(MIS) / BRA(Fuera del área del proyecto) / PRY(APA, MIE, PAI)
Lantana magnibracteata	ARG(JUJ, SAL, TUC)
Lantana megapotamica	ARG(BAI, COR, COS, ERI, FOR, LRI, MIS, SJU, SLU, SFE, SDE) / BRA(RGS) / PRY(APY, BOQ) / URY(LAV, RIV, ROC, TAC, TYT)
Lantana micrantha	ARG(CAT, COS, FOR, JUJ, MIS, SAL, TUC) / PRY(APY, AMA, CEN, COA, GUA, PAI, PHA, SPE)
