Ugni candollei	CHL(MAU, BIO, ARA, LLA)
Ugni molinae	ARG(CHU, NEU, RNE) / CHL(VAL, LBO, MAU, BIO, ARA, LLA, AIS, MAG)
Ugni selkirkii	CHL(JFE)
Ulantha apinnula	CHL(MAU)
Ulantha grandiflora	CHL(MAU, BIO, ARA)
Uleiorchis prataënsis	BRA(PAR)
Uleiorchis ulaei	BRA(SCA)
Ulex europaeus	ARG(BAI, CHU, NEU, RNE, SCR, TDF) / BRA(RGS, SCA) / CHL(BIO, ARA, LLA) / URY(CAS, MON, ROC, SJO)
Ullucus tuberosus ssp. aborigineus	ARG(JUJ)
Uncinia andina	ARG(NEU, RNE) / CHL(BIO, ARA)
Uncinia araucana	CHL(ARA)
Uncinia aspericaulis	CHL(JFE)
Uncinia austroamericana	ARG(TDF) / CHL(MAG)
Uncinia chilensis	ARG(NEU, RNE) / CHL(BIO, ARA)
Uncinia costata	CHL(JFE)
Uncinia douglasii	CHL(JFE)
Uncinia erinacea	CHL(MAU, BIO, ARA, LLA, AIS, MAG)
Uncinia hamata	ARG(COR, JUJ, SAL, TUC)
Uncinia lechleriana	ARG(CHU, TDF) / CHL(AIS, MAG)
Uncinia macloviana	ARG(CHU, RNE, SCR, TDF) / CHL(BIO, LLA, AIS, MAG, JFE)
Uncinia macloviformis	CHL(JFE)
Uncinia macrolepis	ARG(SCR, TDF) / CHL(MAG)
Uncinia macrophylla	CHL(BIO, LLA)
Uncinia multifaria	CHL(BIO, ARA, LLA)
Uncinia negeri	ARG(NEU, RNE) / CHL(ARA, LLA, AIS)
Uncinia phleoides	ARG(BAI, CAT, CHU, COR, JUJ, NEU, RNE, SAL, TUC) / CHL(COQ, VAL, MAU, BIO, ARA, LLA, AIS, RME, JFE)
Uncinia scabriuscula	ARG(NEU, RNE) / CHL(ARA, LLA, AIS, JFE)
Uncinia setifolia	CHL(COQ, VAL, LBO, MAU, RME)
Uncinia tenuis	ARG(CHU, NEU, RNE, SCR, TDF) / CHL(ARA, LLA, AIS, MAG, JFE)
Uncinia trichocarpa	CHL(COQ, MAU, BIO, ARA, LLA)
Uncinia triquetra	ARG(CHU, TDF) / CHL(LLA, AIS, MAG)
Urena lobata	BRA(PAR) / PRY(AMA)
Urera altissima	ARG(JUJ, SAL, TUC)
Urera aurantiaca	ARG(CHA, COS, ERI, FOR, JUJ, MIS, SAL, SFE) / BRA(PAR, RGS, SCA) / PRY(CEN, COA, ÑEE, PAI, PHA)
